week,bitcoin,ethereum
2012-06-17,2,0
2012-06-24,2,0
2012-07-01,1,0
2012-07-08,2,0
2012-07-15,2,0
2012-07-22,2,0
2012-07-29,2,0
2012-08-05,2,0
2012-08-12,3,0
2012-08-19,3,0
2012-08-26,2,0
2012-09-02,4,0
2012-09-09,2,0
2012-09-16,2,0
2012-09-23,2,0
2012-09-30,2,0
2012-10-07,2,0
2012-10-14,2,0
2012-10-21,2,0
2012-10-28,2,0
2012-11-04,2,0
2012-11-11,2,0
2012-11-18,2,0
2012-11-25,3,0
2012-12-02,3,0
2012-12-09,3,0
2012-12-16,2,0
2012-12-23,2,0
2012-12-30,2,0
2013-01-06,3,0
2013-01-13,3,0
2013-01-20,3,0
2013-01-27,4,0
2013-02-03,3,0
2013-02-10,4,0
2013-02-17,5,0
2013-02-24,5,0
2013-03-03,6,0
2013-03-10,7,0
2013-03-17,11,0
2013-03-24,17,0
2013-03-31,29,0
2013-04-07,55,0
2013-04-14,30,0
2013-04-21,18,0
2013-04-28,16,0
2013-05-05,13,0
2013-05-12,12,0
2013-05-19,11,0
2013-05-26,11,0
2013-06-02,9,0
2013-06-09,9,0
2013-06-16,8,0
2013-06-23,8,0
2013-06-30,11,0
2013-07-07,8,0
2013-07-14,7,0
2013-07-21,7,0
2013-07-28,7,0
2013-08-04,7,0
2013-08-11,9,0
2013-08-18,9,0
2013-08-25,8,0
2013-09-01,7,0
2013-09-08,6,0
2013-09-15,7,0
2013-09-22,7,0
2013-09-29,13,0
2013-10-06,9,0
2013-10-13,8,0
2013-10-20,10,0
2013-10-27,25,0
2013-11-03,24,0
2013-11-10,25,0
2013-11-17,58,0
2013-11-24,71,0
2013-12-01,70,0
2013-12-08,49,0
2013-12-15,51,0
2013-12-22,34,0
2013-12-29,29,0
2014-01-05,34,0
2014-01-12,32,0
2014-01-19,33,0
2014-01-26,32,0
2014-02-02,28,0
2014-02-09,35,0
2014-02-16,30,0
2014-02-23,54,0
2014-03-02,44,0
2014-03-09,24,0
2014-03-16,20,0
2014-03-23,20,0
2014-03-30,18,0
2014-04-06,17,0
2014-04-13,16,0
2014-04-20,14,0
2014-04-27,13,0
2014-05-04,13,0
2014-05-11,12,0
2014-05-18,13,0
2014-05-25,15,0
2014-06-01,13,0
2014-06-08,14,0
2014-06-15,13,0
2014-06-22,11,0
2014-06-29,13,0
2014-07-06,12,0
2014-07-13,12,0
2014-07-20,11,0
2014-07-27,11,0
2014-08-03,12,0
2014-08-10,13,0
2014-08-17,13,0
2014-08-24,11,0
2014-08-31,12,0
2014-09-07,13,0
2014-09-14,12,0
2014-09-21,12,0
2014-09-28,12,0
2014-10-05,14,0
2014-10-12,12,0
2014-10-19,11,0
2014-10-26,10,0
2014-11-02,11,0
2014-11-09,13,0
2014-11-16,11,0
2014-11-23,10,0
2014-11-30,11,0
2014-12-07,12,0
2014-12-14,12,0
2014-12-21,13,0
2014-12-28,11,0
2015-01-04,13,0
2015-01-11,14,0
2015-01-18,12,0
2015-01-25,13,0
2015-02-01,11,0
2015-02-08,12,0
2015-02-15,12,0
2015-02-22,10,0
2015-03-01,12,0
2015-03-08,12,0
2015-03-15,11,0
2015-03-22,10,0
2015-03-29,10,0
2015-04-05,10,0
2015-04-12,10,0
2015-04-19,10,0
2015-04-26,9,0
2015-05-03,9,0
2015-05-10,10,0
2015-05-17,10,0
2015-05-24,10,0
2015-05-31,10,0
2015-06-07,9,0
2015-06-14,11,0
2015-06-21,10,0
2015-06-28,12,0
2015-07-05,13,0
2015-07-12,11,0
2015-07-19,10,0
2015-07-26,11,0
2015-08-02,11,0
2015-08-09,10,1
2015-08-16,12,0
2015-08-23,11,0
2015-08-30,10,0
2015-09-06,10,0
2015-09-13,10,0
2015-09-20,10,0
2015-09-27,10,0
2015-10-04,10,0
2015-10-11,10,0
2015-10-18,11,0
